Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
Blue Jet Healthcare Ltd,788.25,"13,673","8,05,197",https://www.etmoney.com/stocks/blue-jet-healthcare-ltd/4474,BLUEJET
Jupiter Wagons Ltd.,321.80,"13,660","76,73,655",https://www.etmoney.com/stocks/jupiter-wagons-ltd/975,JWL
Swan Energy Ltd.,434.55,"13,621","74,28,065",https://www.etmoney.com/stocks/swan-energy-ltd/2734,SWANENERGY
Indegene Ltd.,568.70,"13,607","2,00,072",https://www.etmoney.com/stocks/indegene-ltd/4746,INDGN
HBL Engineering Ltd.,488.95,"13,553","24,49,664",https://www.etmoney.com/stocks/hbl-engineering-ltd/1193,HBLENGINE
LT Foods Ltd.,385.50,"13,387","4,77,046",https://www.etmoney.com/stocks/lt-foods-ltd/636,LTFOODS
Cello World Ltd.,605.45,"13,373","1,51,982",https://www.etmoney.com/stocks/cello-world-ltd/4475,CELLO
IIFL Finance Ltd.,314.15,"13,336","10,36,610",https://www.etmoney.com/stocks/iifl-finance-ltd/2297,IIFL
Aavas Financiers Ltd.,"1,683.70","13,325","1,73,777",https://www.etmoney.com/stocks/aavas-financiers-ltd/1794,AAVAS
Bombay Burmah Trading Corporation Ltd.,"1,900.10","13,257","1,60,007",https://www.etmoney.com/stocks/bombay-burmah-trading-corporation-ltd/2823,BBTC
Minda Corporation Ltd.,548.05,"13,103","24,56,863",https://www.etmoney.com/stocks/minda-corporation-ltd/865,MINDACORP
Birlasoft Ltd.,470.95,"13,067","15,99,419",https://www.etmoney.com/stocks/birlasoft-ltd/2208,BSOFT
Deepak Fertilisers & Petrochemicals Corporation Ltd.,"1,034.25","13,056","7,10,600",https://www.etmoney.com/stocks/deepak-fertilisers-and-petrochemicals-corporation-ltd/2778,DEEPAKFERT
Jyothy Labs Ltd.,355.20,"13,043","5,33,043",https://www.etmoney.com/stocks/jyothy-labs-ltd/1044,JYOTHYLAB
Rainbow Childrens Medicare Ltd.,"1,284.00","13,039","2,32,875",https://www.etmoney.com/stocks/rainbow-childrens-medicare-ltd/4091,RAINBOW
Granules India Ltd.,531.45,"12,887","9,89,615",https://www.etmoney.com/stocks/granules-india-ltd/1863,GRANULES
Great Eastern Shipping Company Ltd.,902.55,"12,885","1,92,742",https://www.etmoney.com/stocks/great-eastern-shipping-company-ltd/1155,GESHIP
Tata Teleservices (Maharashtra) Ltd.,65.75,"12,854","37,87,144",https://www.etmoney.com/stocks/tata-teleservices-maharashtra-ltd/2865,TTML
HFCL Ltd.,88.80,"12,811","1,76,97,580",https://www.etmoney.com/stocks/hfcl-ltd/387,HFCL
R R Kabel Ltd.,"1,132.70","12,807","1,10,994",https://www.etmoney.com/stocks/r-r-kabel-ltd/4436,RRKABEL
Mahanagar Gas Ltd.,"1,293.65","12,778","3,42,911",https://www.etmoney.com/stocks/mahanagar-gas-ltd/1117,MGL
Gravita India Ltd.,"1,730.80","12,775","3,27,237",https://www.etmoney.com/stocks/gravita-india-ltd/2128,GRAVITA
Whirlpool of India Ltd.,"1,003.45","12,731","7,08,533",https://www.etmoney.com/stocks/whirlpool-of-india-ltd/1649,WHIRLPOOL
EID Parry (India) Ltd.,701.55,"12,464","4,99,823",https://www.etmoney.com/stocks/eid-parry-india-ltd/1853,EIDPARRY
Ramkrishna Forgings Ltd.,687.60,"12,430","8,20,752",https://www.etmoney.com/stocks/ramkrishna-forgings-ltd/633,RKFORGE
Alivus Life Sciences Ltd.,"1,013.15","12,414","91,125",https://www.etmoney.com/stocks/alivus-life-sciences-ltd/3169,ALIVUS
IndiaMART InterMESH Ltd.,"2,064.15","12,392","1,94,755",https://www.etmoney.com/stocks/indiamart-intermesh-ltd/1952,INDIAMART
Vardhman Textiles Ltd.,427.70,"12,368","85,706",https://www.etmoney.com/stocks/vardhman-textiles-ltd/1125,VTL
NAVA Ltd.,423.25,"12,283","17,09,305",https://www.etmoney.com/stocks/nava-ltd/713,NAVA
Sobha Ltd.,"1,203.75","12,146","3,59,635",https://www.etmoney.com/stocks/sobha-ltd/2329,SOBHA
UTI Asset Management Company Ltd.,949.10,"12,143","85,072",https://www.etmoney.com/stocks/uti-asset-management-company-ltd/2679,UTIAMC
Sanofi India Ltd.,"5,231.70","12,049","9,735",https://www.etmoney.com/stocks/sanofi-india-ltd/1767,SANOFI
Jai Balaji Industries Ltd.,131.16,"11,965","4,83,091",https://www.etmoney.com/stocks/jai-balaji-industries-ltd/152,JAIBALAJI
Godawari Power & Ispat Ltd.,175.14,"11,905","17,74,421",https://www.etmoney.com/stocks/godawari-power-and-ispat-ltd/52,GPIL
NCC Ltd.,188.95,"11,863","48,45,015",https://www.etmoney.com/stocks/ncc-ltd/955,NCC
IFCI Ltd.,45.17,"11,806","1,19,39,239",https://www.etmoney.com/stocks/ifci-ltd/675,IFCI
Fine Organic Industries Ltd.,"3,844.85","11,788","26,397",https://www.etmoney.com/stocks/fine-organic-industries-ltd/2722,FINEORG
Welspun Living Ltd.,122.31,"11,731","21,42,512",https://www.etmoney.com/stocks/welspun-living-ltd/2595,WELSPUNLIV
City Union Bank Ltd.,157.92,"11,702","42,53,722",https://www.etmoney.com/stocks/city-union-bank-ltd/345,CUB
Sonata Software Ltd.,416.55,"11,681","5,57,587",https://www.etmoney.com/stocks/sonata-software-ltd/2830,SONATSOFTW
Transformers & Rectifiers (India) Ltd.,385.80,"11,580","5,71,141",https://www.etmoney.com/stocks/transformers-and-rectifiers-india-ltd/411,TARIL
Finolex Industries Ltd.,186.31,"11,560","4,71,025",https://www.etmoney.com/stocks/finolex-industries-ltd/447,FINPIPE
ACME Solar Holdings Ltd.,190.76,"11,543","5,24,227",https://www.etmoney.com/stocks/acme-solar-holdings-ltd/4933,ACMESOLAR
Nuvoco Vistas Corporation Ltd.,322.05,"11,502","96,354",https://www.etmoney.com/stocks/nuvoco-vistas-corporation-ltd/3167,NUVOCO
Techno Electric & Engineering Company Ltd.,988.00,"11,490","7,06,193",https://www.etmoney.com/stocks/techno-electric-and-engineering-company-ltd/1045,TECHNOE
Westlife Foodworld Ltd.,735.30,"11,466","24,934",https://www.etmoney.com/stocks/westlife-foodworld-ltd/665,WESTLIFE
Relaxo Footwears Ltd.,446.10,"11,105","95,394",https://www.etmoney.com/stocks/relaxo-footwears-ltd/798,RELAXO
BEML Ltd.,"2,651.90","11,044","4,84,418",https://www.etmoney.com/stocks/beml-ltd/50,BEML
Inox Wind Energy Ltd.,"9,091.10","10,953","5,431",https://www.etmoney.com/stocks/inox-wind-energy-ltd/3790,IWEL
Ceat Ltd.,"2,707.05","10,950","32,230",https://www.etmoney.com/stocks/ceat-ltd/899,CEATLTD
Sanofi Consumer Healthcare India Ltd.,"4,739.85","10,916","5,194",https://www.etmoney.com/stocks/sanofi-consumer-healthcare-india-ltd/4877,SANOFICONR
Jubilant Ingrevia Ltd.,679.15,"10,818","2,48,500",https://www.etmoney.com/stocks/jubilant-ingrevia-ltd/1933,JUBLINGREA
Supreme Petrochem Ltd.,571.75,"10,751","35,531",https://www.etmoney.com/stocks/supreme-petrochem-ltd/2441,SPLPETRO
Titagarh Rail Systems Ltd.,795.70,"10,716","20,93,421",https://www.etmoney.com/stocks/titagarh-rail-systems-ltd/697,TITAGARH
Maharashtra Scooters Ltd.,"9,336.85","10,671","2,537",https://www.etmoney.com/stocks/maharashtra-scooters-ltd/1672,MAHSCOOTER
Jammu & Kashmir Bank Ltd.,96.74,"10,653","17,05,629",https://www.etmoney.com/stocks/jammu-and-kashmir-bank-ltd/1690,J&KBANK
KSB Ltd.,611.35,"10,640","52,241",https://www.etmoney.com/stocks/ksb-ltd/2330,KSB
Zydus Wellness Ltd.,"1,666.60","10,605","1,31,894",https://www.etmoney.com/stocks/zydus-wellness-ltd/2657,ZYDUSWELL
NMDC Steel Ltd.,36.11,"10,582","38,61,752",https://www.etmoney.com/stocks/nmdc-steel-ltd/4323,NSLNISP
Lemon Tree Hotels Ltd.,133.21,"10,554","31,62,718",https://www.etmoney.com/stocks/lemon-tree-hotels-ltd/1246,LEMONTREE
Ingersoll-Rand (India) Ltd.,"3,335.20","10,529","1,21,534",https://www.etmoney.com/stocks/ingersoll-rand-india-ltd/1403,INGERRAND
Elecon Engineering Company Ltd.,466.75,"10,474","3,96,938",https://www.etmoney.com/stocks/elecon-engineering-company-ltd/398,ELECON
Ganesh Housing Corporation Ltd.,"1,246.05","10,390","92,917",https://www.etmoney.com/stocks/ganesh-housing-corporation-ltd/2137,GANESHHOUC
Marksans Pharma Ltd.,228.15,"10,339","19,35,513",https://www.etmoney.com/stocks/marksans-pharma-ltd/541,MARKSANS
G R Infraprojects Ltd.,"1,059.80","10,253","61,055",https://www.etmoney.com/stocks/g-r-infraprojects-ltd/3077,GRINFRA
Rites Ltd.,213.25,"10,249","14,70,157",https://www.etmoney.com/stocks/rites-ltd/984,RITES
Shakti Pumps (India) Ltd.,852.05,"10,243","3,14,192",https://www.etmoney.com/stocks/shakti-pumps-india-ltd/2643,SHAKTIPUMP
Happiest Minds Technologies Ltd.,670.05,"10,203","2,14,178",https://www.etmoney.com/stocks/happiest-minds-technologies-ltd/2105,HAPPSTMNDS
Sammaan Capital Ltd.,122.75,"10,181","72,67,169",https://www.etmoney.com/stocks/sammaan-capital-ltd/2249,SAMMAANCAP
Reliance Infrastructure Ltd.,256.25,"10,151","33,82,941",https://www.etmoney.com/stocks/reliance-infrastructure-ltd/528,RELINFRA
Railtel Corporation of India Ltd.,314.40,"10,090","36,38,982",https://www.etmoney.com/stocks/railtel-corporation-of-india-ltd/1574,RAILTEL
Aether Industries Ltd.,756.05,"10,024","32,325",https://www.etmoney.com/stocks/aether-industries-ltd/4103,AETHER
Praj Industries Ltd.,542.75,"9,976","6,07,579",https://www.etmoney.com/stocks/praj-industries-ltd/2552,PRAJIND
Sapphire Foods India Ltd.,308.85,"9,911","4,16,576",https://www.etmoney.com/stocks/sapphire-foods-india-ltd/3921,SAPPHIRE
Intellect Design Arena Ltd.,713.65,"9,897","2,83,723",https://www.etmoney.com/stocks/intellect-design-arena-ltd/1347,INTELLECT
Choice International Ltd.,492.30,"9,829","3,10,001",https://www.etmoney.com/stocks/choice-international-ltd/1477,CHOICEIN
RBL Bank Ltd.,161.08,"9,791","72,87,247",https://www.etmoney.com/stocks/rbl-bank-ltd/871,RBLBANK
Craftsman Automation Ltd.,"4,097.15","9,774","36,019",https://www.etmoney.com/stocks/craftsman-automation-ltd/2127,CRAFTSMAN
JM Financial Ltd.,101.87,"9,736","29,56,918",https://www.etmoney.com/stocks/jm-financial-ltd/1458,JMFINANCIL
PVR INOX Ltd.,990.40,"9,725","4,70,408",https://www.etmoney.com/stocks/pvr-inox-ltd/350,PVRINOX
Eureka Forbes Ltd.,501.85,"9,710","2,60,229",https://www.etmoney.com/stocks/eureka-forbes-ltd/4067,EUREKAFORB
Safari Industries (India) Ltd.,"1,983.40","9,695","34,806",https://www.etmoney.com/stocks/safari-industries-india-ltd/2194,SAFARI
Zen Technologies Ltd.,"1,069.20","9,654","20,73,198",https://www.etmoney.com/stocks/zen-technologies-ltd/1261,ZENTEC
Olectra Greentech Ltd.,"1,175.85","9,651","8,21,988",https://www.etmoney.com/stocks/olectra-greentech-ltd/2540,OLECTRA
Jupiter Life Line Hospitals Ltd.,"1,467.25","9,620","15,278",https://www.etmoney.com/stocks/jupiter-life-line-hospitals-ltd/4433,JLHL
Saregama India Ltd.,498.55,"9,613","6,02,091",https://www.etmoney.com/stocks/saregama-india-ltd/2436,SAREGAMA
Vijaya Diagnostic Centre Ltd.,927.70,"9,522","2,82,505",https://www.etmoney.com/stocks/vijaya-diagnostic-centre-ltd/3890,VIJAYA
Zee Entertainment Enterprises Ltd.,99.02,"9,511","97,01,829",https://www.etmoney.com/stocks/zee-entertainment-enterprises-ltd/1249,ZEEL
TTK Prestige Ltd.,693.65,"9,499","4,46,091",https://www.etmoney.com/stocks/ttk-prestige-ltd/2788,TTKPRESTIG
Engineers India Ltd.,168.29,"9,459","49,87,591",https://www.etmoney.com/stocks/engineers-india-ltd/1348,ENGINERSIN
Jaiprakash Power Ventures Ltd.,13.74,"9,417","3,38,58,654",https://www.etmoney.com/stocks/jaiprakash-power-ventures-ltd/2538,JPPOWER
Allied Blenders & Distillers Ltd.,336.65,"9,416","5,79,580",https://www.etmoney.com/stocks/allied-blenders-and-distillers-ltd/4767,ABDL
Avanti Feeds Ltd.,687.55,"9,368","7,79,887",https://www.etmoney.com/stocks/avanti-feeds-ltd/1996,AVANTIFEED
Raymond Ltd.,"1,401.20","9,328","2,33,146",https://www.etmoney.com/stocks/raymond-ltd/954,RAYMOND
Edelweiss Financial Services Ltd.,97.57,"9,228","59,24,766",https://www.etmoney.com/stocks/edelweiss-financial-services-ltd/2528,EDELWEISS
Time Technoplast Ltd.,405.30,"9,197","11,41,489",https://www.etmoney.com/stocks/time-technoplast-ltd/25,TIMETECHNO
C.E. Info Systems Ltd.,"1,680.55","9,146","32,108",https://www.etmoney.com/stocks/ce-info-systems-ltd/3973,MAPMYINDIA
SBFC Finance Ltd.,84.12,"9,120","12,66,083",https://www.etmoney.com/stocks/sbfc-finance-ltd/4427,SBFC
Quess Corp Ltd.,610.05,"9,077","1,36,614",https://www.etmoney.com/stocks/quess-corp-ltd/1302,QUESS
Ami Organics Ltd.,"2,207.90","9,038","3,22,075",https://www.etmoney.com/stocks/ami-organics-ltd/3891,AMIORG
ITD Cementation India Ltd.,525.25,"9,023","7,03,089",https://www.etmoney.com/stocks/itd-cementation-india-ltd/2514,ITDCEM
Balrampur Chini Mills Ltd.,446.80,"9,021","2,96,685",https://www.etmoney.com/stocks/balrampur-chini-mills-ltd/1513,BALRAMCHIN
Medplus Health Services Ltd.,751.25,"8,992","1,79,234",https://www.etmoney.com/stocks/medplus-health-services-ltd/3987,MEDPLUS
Garware Hi-Tech Films Ltd.,"3,838.55","8,918","1,15,051",https://www.etmoney.com/stocks/garware-hi-tech-films-ltd/1307,GRWRHITECH
Redtape Ltd.,161.10,"8,906","1,87,015",https://www.etmoney.com/stocks/redtape-ltd/4424,REDTAPE
Shriram Pistons & Rings Ltd.,"2,016.45","8,882","51,343",https://www.etmoney.com/stocks/shriram-pistons-and-rings-ltd/3733,SHRIPISTON
Tega Industries Ltd.,"1,334.60","8,880","71,698",https://www.etmoney.com/stocks/tega-industries-ltd/3965,TEGA
Usha Martin Ltd.,290.30,"8,847","14,85,381",https://www.etmoney.com/stocks/usha-martin-ltd/126,USHAMART
Force Motors Ltd.,"6,684.10","8,807","28,719",https://www.etmoney.com/stocks/force-motors-ltd/1683,FORCEMOT
Procter & Gamble Health Ltd.,"5,301.80","8,801","8,914",https://www.etmoney.com/stocks/procter-and-gamble-health-ltd/2350,PGHL
Kirloskar Oil Engines Ltd.,605.95,"8,796","9,55,151",https://www.etmoney.com/stocks/kirloskar-oil-engines-ltd/1329,KIRLOSENG
Star Cement Ltd.,216.50,"8,751","4,38,511",https://www.etmoney.com/stocks/star-cement-ltd/726,STARCEMENT
Data Patterns (India) Ltd.,"1,544.85","8,649","31,70,630",https://www.etmoney.com/stocks/data-patterns-india-ltd/3985,DATAPATTNS
ASK Automotive Ltd.,431.85,"8,514","1,86,037",https://www.etmoney.com/stocks/ask-automotive-ltd/4486,ASKAUTOLTD
Tips Music Ltd.,663.85,"8,486","2,02,078",https://www.etmoney.com/stocks/tips-music-ltd/1218,TIPSMUSIC
Alkyl Amines Chemicals Ltd.,"1,659.10","8,484","77,447",https://www.etmoney.com/stocks/alkyl-amines-chemicals-ltd/1326,ALKYLAMINE
Happy Forgings Ltd.,899.75,"8,479","51,274",https://www.etmoney.com/stocks/happy-forgings-ltd/4519,HAPPYFORGE
Metropolis Healthcare Ltd.,"1,648.40","8,453","1,46,186",https://www.etmoney.com/stocks/metropolis-healthcare-ltd/2521,METROPOLIS
Gujarat Mineral Development Corporation Ltd.,264.80,"8,421","8,13,906",https://www.etmoney.com/stocks/gujarat-mineral-development-corporation-ltd/1034,GMDCLTD
MMTC Ltd.,56.12,"8,418","15,14,770",https://www.etmoney.com/stocks/mmtc-ltd/2517,MMTC
Va Tech Wabag Ltd.,"1,346.55","8,374","5,83,277",https://www.etmoney.com/stocks/va-tech-wabag-ltd/1027,WABAG
Genus Power Infrastructures Ltd.,275.25,"8,366","9,91,280",https://www.etmoney.com/stocks/genus-power-infrastructures-ltd/361,GENUSPOWER
JK Lakshmi Cement Ltd.,710.60,"8,362","1,09,767",https://www.etmoney.com/stocks/jk-lakshmi-cement-ltd/1784,JKLAKSHMI
Alok Industries Ltd.,16.84,"8,361","51,34,225",https://www.etmoney.com/stocks/alok-industries-ltd/892,ALOKINDS
Netweb Technologies India Ltd.,"1,474.65","8,354","2,69,715",https://www.etmoney.com/stocks/netweb-technologies-india-ltd/4406,NETWEB
India Cements Ltd.,268.95,"8,335","3,28,042",https://www.etmoney.com/stocks/india-cements-ltd/1948,INDIACEM
Home First Finance Company India Ltd.,926.45,"8,322","4,93,150",https://www.etmoney.com/stocks/home-first-finance-company-india-ltd/2626,HOMEFIRST
Campus Activewear Ltd.,271.60,"8,295","9,54,494",https://www.etmoney.com/stocks/campus-activewear-ltd/4090,CAMPUS
Mrs. Bectors Food Specialities Ltd.,"1,350.55","8,292","82,964",https://www.etmoney.com/stocks/mrs-bectors-food-specialities-ltd/1605,BECTORFOOD
Latent View Analytics Ltd.,400.05,"8,260","2,16,372",https://www.etmoney.com/stocks/latent-view-analytics-ltd/3923,LATENTVIEW
Inox India Ltd.,908.35,"8,245","88,853",https://www.etmoney.com/stocks/inox-india-ltd/4516,INOXINDIA
Sheela Foam Ltd.,757.90,"8,238","64,573",https://www.etmoney.com/stocks/sheela-foam-ltd/365,SFL
Triveni Engineering & Industries Ltd.,375.65,"8,223","2,72,164",https://www.etmoney.com/stocks/triveni-engineering-and-industries-ltd/849,TRIVENI
RHI Magnesita India Ltd.,397.50,"8,208","4,15,364",https://www.etmoney.com/stocks/rhi-magnesita-india-ltd/2707,RHIM
Prudent Corporate Advisory Services Ltd.,"1,981.45","8,205","90,543",https://www.etmoney.com/stocks/prudent-corporate-advisory-services-ltd/4096,PRUDENT
Maharashtra Seamless Ltd.,608.20,"8,150","5,14,428",https://www.etmoney.com/stocks/maharashtra-seamless-ltd/1486,MAHSEAMLES
Nazara Technologies Ltd.,930.80,"8,150","1,87,760",https://www.etmoney.com/stocks/nazara-technologies-ltd/2772,NAZARA
Galaxy Surfactants Ltd.,"2,287.55","8,110","28,835",https://www.etmoney.com/stocks/galaxy-surfactants-ltd/1638,GALAXYSURF
CCL Products India Ltd.,600.90,"8,024","90,937",https://www.etmoney.com/stocks/ccl-products-india-ltd/2486,CCL
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,545.25,"8,012","4,44,432",https://www.etmoney.com/stocks/gujarat-narmada-valley-fertilizers-and-chemicals-ltd/791,GNFC
Can Fin Homes Ltd.,600.80,"8,000","1,90,817",https://www.etmoney.com/stocks/can-fin-homes-ltd/782,CANFINHOME
JK Tyre & Industries Ltd.,287.80,"7,886","3,65,541",https://www.etmoney.com/stocks/jk-tyre-and-industries-ltd/1599,JKTYRE
Syrma SGS Technology Ltd.,441.20,"7,860","9,77,985",https://www.etmoney.com/stocks/syrma-sgs-technology-ltd/4191,SYRMA
Graphite India Ltd.,401.45,"7,843","5,15,997",https://www.etmoney.com/stocks/graphite-india-ltd/953,GRAPHITE
Akums Drugs & Pharmaceuticals Ltd.,494.95,"7,790","5,67,902",https://www.etmoney.com/stocks/akums-drugs-and-pharmaceuticals-ltd/4825,AKUMS
KPI Green Energy Ltd.,394.50,"7,767","10,94,392",https://www.etmoney.com/stocks/kpi-green-energy-ltd/3125,KPIGREEN
Gallantt Ispat Ltd.,321.75,"7,763","26,922",https://www.etmoney.com/stocks/gallantt-ispat-ltd/2628,GALLANTT
Lloyds Engineering Works Ltd.,66.37,"7,735","44,87,184",https://www.etmoney.com/stocks/lloyds-engineering-works-ltd/3787,LLOYDSENGG
GMR Power and Urban Infra Ltd.,108.14,"7,730","28,56,670",https://www.etmoney.com/stocks/gmr-power-and-urban-infra-ltd/4072,GMRP&UI
Cera Sanitaryware Ltd.,"5,989.20","7,725","10,871",https://www.etmoney.com/stocks/cera-sanitaryware-ltd/62,CERA
Epigral Ltd.,"1,772.80","7,648","44,758",https://www.etmoney.com/stocks/epigral-ltd/3180,EPIGRAL
Symphony Ltd.,"1,113.30","7,645","99,112",https://www.etmoney.com/stocks/symphony-ltd/2207,SYMPHONY
Mastek Ltd.,"2,462.10","7,603","61,953",https://www.etmoney.com/stocks/mastek-ltd/809,MASTEK
EPL Ltd.,237.95,"7,597","5,77,220",https://www.etmoney.com/stocks/epl-ltd/279,EPL
Black Box Ltd.,448.15,"7,589","1,91,185",https://www.etmoney.com/stocks/black-box-ltd/1718,BBOX
Bajaj Electricals Ltd.,654.95,"7,554","44,797",https://www.etmoney.com/stocks/bajaj-electricals-ltd/1219,BAJAJELEC
Gujarat State Fertilizer & Chemicals Ltd.,189.37,"7,546","8,64,847",https://www.etmoney.com/stocks/gujarat-state-fertilizer-and-chemicals-ltd/612,GSFC
Religare Enterprises Ltd.,227.80,"7,532","22,89,109",https://www.etmoney.com/stocks/religare-enterprises-ltd/1047,RELIGARE
Birla Corporation Ltd.,974.95,"7,508","80,102",https://www.etmoney.com/stocks/birla-corporation-ltd/2124,BIRLACORPN
Shipping Corporation of India Ltd.,160.82,"7,491","25,76,889",https://www.etmoney.com/stocks/shipping-corporation-of-india-ltd/2685,SCI
Azad Engineering Ltd.,"1,263.35","7,468","3,58,420",https://www.etmoney.com/stocks/azad-engineering-ltd/4522,AZAD
Ion Exchange (India) Ltd.,508.50,"7,458","1,58,777",https://www.etmoney.com/stocks/ion-exchange-india-ltd/1529,IONEXCHANG
Transrail Lighting Ltd.,554.95,"7,451","17,15,149",https://www.etmoney.com/stocks/transrail-lighting-ltd/4970,TRANSRAILL
Aurionpro Solutions Ltd.,"1,347.50","7,440","51,656",https://www.etmoney.com/stocks/aurionpro-solutions-ltd/1489,AURIONPRO
Zinka Logistics Solutions Ltd.,421.15,"7,432","1,13,625",https://www.etmoney.com/stocks/zinka-logistics-solutions-ltd/4945,BLACKBUCK
Paradeep Phosphates Ltd.,91.09,"7,426","54,07,985",https://www.etmoney.com/stocks/paradeep-phosphates-ltd/4101,PARADEEP
CMS Info Systems Ltd.,451.40,"7,419","3,30,141",https://www.etmoney.com/stocks/cms-info-systems-ltd/3993,CMSINFO
Transport Corporation of India Ltd.,968.00,"7,414","16,302",https://www.etmoney.com/stocks/transport-corporation-of-india-ltd/2387,TCI
Chennai Petroleum Corporation Ltd.,496.25,"7,390","4,41,451",https://www.etmoney.com/stocks/chennai-petroleum-corporation-ltd/86,CHENNPETRO
P N Gadgil Jewellers Ltd.,543.30,"7,373","4,23,071",https://www.etmoney.com/stocks/p-n-gadgil-jewellers-ltd/4883,PNGJL
CarTrade Tech Ltd.,"1,547.15","7,339","5,17,257",https://www.etmoney.com/stocks/cartrade-tech-ltd/3163,CARTRADE
Honasa Consumer Ltd.,225.40,"7,322","6,59,218",https://www.etmoney.com/stocks/honasa-consumer-ltd/4476,HONASA
Sansera Engineering Ltd.,"1,179.25","7,302","2,65,200",https://www.etmoney.com/stocks/sansera-engineering-ltd/3895,SANSERA
Vesuvius India Ltd.,"3,596.75","7,300","42,902",https://www.etmoney.com/stocks/vesuvius-india-ltd/1032,VESUVIUS
Aarti Pharmalabs Ltd.,801.70,"7,265","13,49,592",https://www.etmoney.com/stocks/aarti-pharmalabs-ltd/4319,AARTIPHARM
Network18 Media & Investments Ltd.,46.93,"7,237","33,77,423",https://www.etmoney.com/stocks/network18-media-and-investments-ltd/1456,NETWORK18
India Shelter Finance Corporation Ltd.,670.05,"7,228","51,417",https://www.etmoney.com/stocks/india-shelter-finance-corporation-ltd/4506,INDIASHLTR
Rashtriya Chemicals & Fertilizers Ltd.,130.89,"7,221","18,40,069",https://www.etmoney.com/stocks/rashtriya-chemicals-and-fertilizers-ltd/2681,RCF
Valor Estate Ltd.,134.00,"7,215","29,31,703",https://www.etmoney.com/stocks/valor-estate-ltd/3008,DBREALTY
Esab India Ltd.,"4,685.70","7,213","6,561",https://www.etmoney.com/stocks/esab-india-ltd/1842,ESABINDIA
PC Jeweller Ltd.,12.33,"7,198","1,75,99,117",https://www.etmoney.com/stocks/pc-jeweller-ltd/764,PCJEWELLER
Max Estates Ltd.,446.30,"7,185","79,869",https://www.etmoney.com/stocks/max-estates-ltd/4478,MAXESTATES
Just Dial Ltd.,839.20,"7,137","2,94,758",https://www.etmoney.com/stocks/just-dial-ltd/961,JUSTDIAL
Raymond Lifestyle Ltd.,"1,171.25","7,136","1,58,901",https://www.etmoney.com/stocks/raymond-lifestyle-ltd/4869,RAYMONDLSL
Sandur Manganese & Iron Ores Ltd.,434.40,"7,039","5,46,973",https://www.etmoney.com/stocks/sandur-manganese-and-iron-ores-ltd/1907,SANDUMA
Sudarshan Chemical Industries Ltd.,894.40,"7,028","1,37,738",https://www.etmoney.com/stocks/sudarshan-chemical-industries-ltd/2374,SUDARSCHEM
HG Infra Engineering Ltd.,"1,078.05","7,026","1,36,670",https://www.etmoney.com/stocks/hg-infra-engineering-ltd/2023,HGINFRA
ISGEC Heavy Engineering Ltd.,951.05,"6,993","74,188",https://www.etmoney.com/stocks/isgec-heavy-engineering-ltd/680,ISGEC
Anupam Rasayan India Ltd.,633.65,"6,966","1,49,287",https://www.etmoney.com/stocks/anupam-rasayan-india-ltd/2682,ANURAS
Borosil Renewables Ltd.,525.40,"6,960","64,102",https://www.etmoney.com/stocks/borosil-renewables-ltd/1844,BORORENEW
Garware Technical Fibres Ltd.,698.65,"6,935","52,667",https://www.etmoney.com/stocks/garware-technical-fibres-ltd/881,GARFIBRES
Equitas Small Finance Bank Ltd.,60.81,"6,931","17,65,291",https://www.etmoney.com/stocks/equitas-small-finance-bank-ltd/1849,EQUITASBNK
Greenlam Industries Ltd.,539.35,"6,881","13,633",https://www.etmoney.com/stocks/greenlam-industries-ltd/1702,GREENLAM
Ajax Engineering Ltd.,600.75,"6,873","6,11,248",https://www.etmoney.com/stocks/ajax-engineering-ltd/5015,AJAXENGG
Varroc Engineering Ltd.,448.05,"6,846","1,78,405",https://www.etmoney.com/stocks/varroc-engineering-ltd/639,VARROC
Hindustan Foods Ltd.,578.85,"6,802","4,35,366",https://www.etmoney.com/stocks/hindustan-foods-ltd/1062,HNDFDS
HEG Ltd.,352.05,"6,794","4,62,851",https://www.etmoney.com/stocks/heg-ltd/2118,HEG
Jindal Worldwide Ltd.,337.25,"6,763","4,93,665",https://www.etmoney.com/stocks/jindal-worldwide-ltd/322,JINDWORLD
Orient Cement Ltd.,328.65,"6,741","4,44,573",https://www.etmoney.com/stocks/orient-cement-ltd/1225,ORIENTCEM
Healthcare Global Enterprises Ltd.,481.80,"6,716","1,67,016",https://www.etmoney.com/stocks/healthcare-global-enterprises-ltd/1416,HCG
Tanla Platforms Ltd.,498.25,"6,707","6,44,541",https://www.etmoney.com/stocks/tanla-platforms-ltd/1758,TANLA
Kesoram Industries Ltd.,215.65,"6,699","15,39,242",https://www.etmoney.com/stocks/kesoram-industries-ltd/2799,KESORAMIND
Gabriel India Ltd.,466.10,"6,695","1,89,129",https://www.etmoney.com/stocks/gabriel-india-ltd/1386,GABRIEL
Chemplast Sanmar Ltd.,423.20,"6,691","3,73,520",https://www.etmoney.com/stocks/chemplast-sanmar-ltd/3160,CHEMPLASTS
Pearl Global Industries Ltd.,"1,455.70","6,685","1,44,967",https://www.etmoney.com/stocks/pearl-global-industries-ltd/368,PGIL
